landmass,size,landmass_type
Africa,11506,Continent
Antarctica,5500,Continent
Asia,16988,Continent
Australia,2968,Continent
Axel Heiberg,16,Other
Baffin,184,Other
Banks,23,Other
Borneo,280,Other
Britain,84,Other
Celebes,73,Other
Celon,25,Other
Cuba,43,Other
Devon,21,Other
Ellesmere,82,Other
Europe,3745,Continent
Greenland,840,Other
Hainan,13,Other
Hispaniola,30,Other
Hokkaido,30,Other
Honshu,89,Other
Iceland,40,Other
Ireland,33,Other
Java,49,Other
Kyushu,14,Other
Luzon,42,Other
Madagascar,227,Other
Melville,16,Other
Mindanao,36,Other
Moluccas,29,Other
New Britain,15,Other
New Guinea,306,Other
New Zealand (N),44,Other
New Zealand (S),58,Other
Newfoundland,43,Other
North America,9390,Continent
Novaya Zemlya,32,Other
Prince of Wales,13,Other
Sakhalin,29,Other
South America,6795,Continent
Southampton,16,Other
Spitsbergen,15,Other
Sumatra,183,Other
Taiwan,14,Other
Tasmania,26,Other
Tierra del Fuego,19,Other
Timor,13,Other
Vancouver,12,Other
Victoria,82,Other
